Address Text,Matched,Match Score,Match Text,Match Type,Match Id,MatchXCoordinate,MatchYCoordinate,MatchLatitude,MatchLongitude,Match Codes,Rp_Address,Rp_City,Rp_Zip_Code,Zip,ADDRESS,Project__Project_Name,Project_Unit__Unit_Name,Address,Unit_Street__,Unit_Street_Name,Unit__,Unit_ZIP,Parcel_Info,Ownership_Units,Subtotal_Restricted_Units__fm_Prjt_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,5B Eileen Circle #Unit 11,5B Eileen Circle 02130,5B,Eileen Circle,Unit 11,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Eugene Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,7B Eugene Circle #Unit 31,7B Eugene Circle 02130,7B,Eugene Circle,Unit 31,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,6 Eileen Circle #3-13,6 Eileen Circle 02130,6,Eileen Circle,B,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Eugene Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,6B Eugene Circle #Unit 29,6B Eugene Circle 02130,6B,Eugene Circle,Unit 29,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Victor Street 02125,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",6 Victor Street Unit,6 Victor Street 02125,6,Victor Street,#N/A,02125,1300454000,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,96 Liverpool Street,96 Liverpool 02128,96,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,86 Liverpool Street,86 Liverpool 02128,86,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,98 Liverpool Street,98 Liverpool 02128,98,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,90 Liverpool Street,90 Liverpool 02128,90,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,84 Liverpool Street,84 Liverpool 02128,84,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,82 Liverpool Street,82 Liverpool 02128,82,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,100 Liverpool Street,100 Liverpool 02128,100,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,88 Liverpool Street,88 Liverpool 02128,88,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Creighton Street,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Creighton Commons Condominiums,"27 Creighton Street, #1 Unit","27 Creighton Street, Unit 1 NA",27,"Creighton Street, Unit 1",8,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Creighton Street,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Creighton Commons Condominiums,"27 Creighton Street, #2 Unit","27 Creighton Street, Unit 2 NA",27,"Creighton Street, Unit 2",9,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Creighton Street,True,10,"21 Creighton St, Jamaica Plain, MA 02130",Address,341847,762142.805696532,2942988.31375593,42.323042166,-71.108120576,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,,,,,Creighton Commons Condominiums,"21 Creighton Street, #5 Unit","21 Creighton Street, Unit 5 NA",21,"Creighton Street, Unit 5",16,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Creighton Street,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Creighton Commons Condominiums,"25 Creighton Street, #2 Unit","25 Creighton Street, Unit 2 NA",25,"Creighton Street, Unit 2",10,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Creighton Street,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Creighton Commons Condominiums,"25 Creighton Street, #1 Unit","25 Creighton Street, Unit 1 NA",25,"Creighton Street, Unit 1",7,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Creighton Street,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Creighton Commons Condominiums,"25 Creighton Street, #3 Unit","25 Creighton Street, Unit 3 NA",25,"Creighton Street, Unit 3",6,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Creighton Street,True,10,"21 Creighton St, Jamaica Plain, MA 02130",Address,341847,762142.805696532,2942988.31375593,42.323042166,-71.108120576,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,,,,,Creighton Commons Condominiums,"21 Creighton Street, #2 Unit","21 Creighton Street, Unit 2 NA",21,"Creighton Street, Unit 2",11,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Creighton Street,True,10,"21 Creighton St, Jamaica Plain, MA 02130",Address,341847,762142.805696532,2942988.31375593,42.323042166,-71.108120576,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,,,,,Creighton Commons Condominiums,"21 Creighton Street, #3 Unit","21 Creighton Street, Unit 3 NA",21,"Creighton Street, Unit 3",14,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Creighton Street,True,10,"21 Creighton St, Jamaica Plain, MA 02130",Address,341847,762142.805696532,2942988.31375593,42.323042166,-71.108120576,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,,,,,Creighton Commons Condominiums,"21 Creighton Street, #4 Unit","21 Creighton Street, Unit 4 NA",21,"Creighton Street, Unit 4",13,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Creighton Street,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Creighton Commons Condominiums,"25 Creighton Street, #4 Unit","25 Creighton Street, Unit 4 NA",25,"Creighton Street, Unit 4",5,#N/A,1002038018,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 Hano 02134,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Hano Homes II (AKA: 81 Hano Street),73B Hano St.,73 B Hano 02134,73 B,Hano,73 B,02134,2201738000,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 Hano 02134,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Hano Homes II (AKA: 81 Hano Street),91B Hano Unit 1,91B Hano 02134,91B,Hano,1,02134,2201738000,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57 Edgewood 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),57 Edgewood Street,57 Edgewood 02119,57,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59 Edgewood 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),59A Edgewood Street,59A Edgewood 02119,59A,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49 Edgewood 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),49A Edgewood Street,49A Edgewood 02119,49A,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53 Edgewood 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),53A Edgewood Street,53A Edgewood 02119,53A,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57 Edgewood 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),57A Edgewood Street,57A Edgewood 02119,57A,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 Edgewood 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),39A Edgewood Street,39A Edgewood 02119,39A,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 Edgewood 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),55A Edgewood Street,55A Edgewood 02119,55A,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 Edgewood 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),37A Edgewood Street,37A Edgewood 02119,37A,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51 Edgewood 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Kasanof Homes (Ownership),51A Edgewood Street,51A Edgewood 02119,51A,Edgewood,#N/A,02119,1200921000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 Fenelon Street 02121,True,10,"9 Fenelon St, Dorchester, MA 02121",Address,57364,769936.424664766,2935952.62873021,42.303634041,-71.07943,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",,,,,,Mt. Bowdoin/Erie Ellington - HOME AGAIN,9 Fenelon St Unit,9 -11 Fenelon Street 02121,9 -11,Fenelon Street,#N/A,02121,1402575000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77 Brunswick Street 02121,True,10,"77 Brunswick St, Dorchester, MA 02121",Address,420057,769522.329931704,2938688.08591852,42.311145868,-71.080911065,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,,,,,Nu Life Development,77B Brunswick Street Unit,77B Brunswick Street 02121,77B,Brunswick Street,#N/A,02121,1400471000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 Brunswick Street 02121,True,10,"73 Brunswick St, Dorchester, MA 02121",Address,420055,769489.739747316,2938703.89020607,42.311189675,-71.081031266,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,,,,,Nu Life Development,73B Brunswick Street Unit,73B Brunswick Street 02121,73B,Brunswick Street,B,02121,1400471000,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Savin Street 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Savin Maywood Init. (Phase I),32 Savin St Unit,32 Savin Street 02119,32,Savin Street,#N/A,02119,1200937010,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 Thetford 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_PARCEL",,,,,,Thetford|Dyer Neighborhood Homes,63 Thetford Avenue,63 Thetford 02124,63,Thetford,#N/A,02124,1702073000,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 Capen 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_PARCEL",,,,,,Thetford|Dyer Neighborhood Homes,48 Capen Street,48 Capen 02124,48,Capen,#N/A,02124,1702073000,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104 Homestead Street 02121,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_PARCEL",,,,,,Uva Douglas Estates at Sugar Hill,104 Homestead Street 02121 #16,104 Homestead Street 02121,104,Homestead Street,16,02121,#N/A,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA NA 02114,False,0,,Did Not Match,-1,-1,-1,0,0,STREET_NONE,,,,,,West End Place/Lowell Sq.,150 Staniford Street # 520,NA NA 02114,#N/A,#N/A,520,02114,0300470000,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
