Address Text,Matched,Match Score,Match Text,Match Type,Match Id,MatchXCoordinate,MatchYCoordinate,MatchLatitude,MatchLongitude,Match Codes,Address,Street #,Street Name,Street suffix,Unit #,ZIP,unit_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241-1255 Adams Street #103 02124,True,10,"1241 Adams St #103, Mattapan, MA 02124",Address,383532,772698.253009436,2924194.07815061,42.27133004,-71.06944,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",1241-1255 Adams Street #103 02124,1241-1255,Adams,Street,103,2124,#103 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241-1255 Adams Street #104 02124,True,10,"1241 Adams St #104, Mattapan, MA 02124",Address,383533,772698.253009436,2924194.07815061,42.27133004,-71.06944,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",1241-1255 Adams Street #104 02124,1241-1255,Adams,Street,104,2124,#104 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241-1255 Adams Street #206 02124,True,10,"1241 Adams St #206, Mattapan, MA 02124",Address,383545,772698.253009436,2924194.07815061,42.27133004,-71.06944,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",1241-1255 Adams Street #206 02124,1241-1255,Adams,Street,206,2124,#206 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241-1255 Adams Street #209 02124,True,10,"1241 Adams St #209, Mattapan, MA 02124",Address,383548,772698.253009436,2924194.07815061,42.27133004,-71.06944,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",1241-1255 Adams Street #209 02124,1241-1255,Adams,Street,209,2124,#209 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241-1255 Adams Street #302 02124,True,10,"1241 Adams St #302, Mattapan, MA 02124",Address,383554,772698.253009436,2924194.07815061,42.27133004,-71.06944,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",1241-1255 Adams Street #302 02124,1241-1255,Adams,Street,302,2124,#302 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241-1255 Adams Street #305 02124,True,10,"1241 Adams St #305, Mattapan, MA 02124",Address,383557,772698.253009436,2924194.07815061,42.27133004,-71.06944,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",1241-1255 Adams Street #305 02124,1241-1255,Adams,Street,305,2124,#305 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241-1255 Adams Street #402 02124,True,10,"1241 Adams St #402, Mattapan, MA 02124",Address,383514,772698.253009436,2924194.07815061,42.27133004,-71.06944,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",1241-1255 Adams Street #402 02124,1241-1255,Adams,Street,402,2124,#402 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241-1255 Adams Street #505 02124,True,10,"1241 Adams St #505, Mattapan, MA 02124",Address,383593,772698.253009436,2924194.07815061,42.27133004,-71.06944,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",1241-1255 Adams Street #505 02124,1241-1255,Adams,Street,505,2124,#505 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82 Alleghany Street #NA 02127,True,5,"82 Alleghany St, Mission Hill, MA 02120",Address,172177,764039.586097443,2945915.41469962,42.331050131,-71.101056123,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",82 Alleghany Street #NA 02127,82,Alleghany,Street,NA,2127,#NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84 Alleghany Street #NA 02127,True,5,"84 Alleghany St, Mission Hill, MA 02120",Address,419795,764035.964007431,2945918.10282584,42.331057553,-71.101069471,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",84 Alleghany Street #NA 02127,84,Alleghany,Street,NA,2127,#NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Alpine Street #2 02136,True,5,"25 Alpine St #2, Mattapan, MA 02126",Address,2897,764021.565363258,2921764.95015699,42.26478004,-71.101539999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT,DUPLICATE_ADDRESS_TEXT",25 Alpine Street #2 02136,25,Alpine,Street,2,2136,#2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Alpine Street #5 02136,True,5,"25 Alpine St #5, Mattapan, MA 02126",Address,2900,764021.565363258,2921764.95015699,42.26478004,-71.101539999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",25 Alpine Street #5 02136,25,Alpine,Street,5,2136,#5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Alpine Street #23 02134,True,5,"25 Alpine St #23, Mattapan, MA 02126",Address,2918,764021.565363258,2921764.95015699,42.26478004,-71.101539999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",25 Alpine Street #23 02134,25,Alpine,Street,23,2134,#23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Alpine Street #27 02128,True,5,"25 Alpine St #27, Mattapan, MA 02126",Address,2922,764021.565363258,2921764.95015699,42.26478004,-71.101539999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",25 Alpine Street #27 02128,25,Alpine,Street,27,2128,#27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 B Street #202 02127,True,5,"30 B St, South Boston, MA 02127",Address,352425,776165.900664856,2948901.68964067,42.339080181,-71.056152959,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",30 B Street #202 02127,30,B,Street,202,2127,#202 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125 B Street #1D 02127,True,5,"125 B St, South Boston, MA 02127",Address,7362,776992.52227135,2949704.05133501,42.34127004,-71.053079999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",125 B Street #1D 02127,125,B,Street,1D,2127,#1D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125 B Street #3C 02127,True,5,"125 B St, South Boston, MA 02127",Address,7362,776992.52227135,2949704.05133501,42.34127004,-71.053079999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",125 B Street #3C 02127,125,B,Street,3C,2127,#3C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 B Street #2 02127,True,5,"141 B St, South Boston, MA 02127",Address,7383,777158.648191497,2949912.3859272,42.341839326,-71.052461488,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",141 B Street #2 02127,141,B,Street,2,2127,#2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Baldwin Street #NA 02129,True,5,"32 Baldwin St, Charlestown, MA 02129",Address,7874,771945.178778648,2964189.72277249,42.381090041,-71.07148,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",32 Baldwin Street #NA 02129,32,Baldwin,Street,NA,2129,#NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Baldwin Street #NA 02129,True,5,"34 Baldwin St, Charlestown, MA 02129",Address,7875,771958.632730663,2964200.7231245,42.38112004,-71.07143,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",34 Baldwin Street #NA 02129,34,Baldwin,Street,NA,2129,#NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 Baldwin Street #NA 02129,True,5,"40 Baldwin St, Charlestown, MA 02129",Address,7881,771998.976730689,2964237.36898054,42.38122004,-71.07128,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",40 Baldwin Street #NA 02129,40,Baldwin,Street,NA,2129,#NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 Baldwin Street #NA 02129,True,5,"42 Baldwin St, Charlestown, MA 02129",Address,7883,772012.430618704,2964248.36939655,42.38125004,-71.07123,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",42 Baldwin Street #NA 02129,42,Baldwin,Street,NA,2129,#NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111 Beach Street #2F 02134,True,5,"111 Beach St #2F, Boston, MA 02111",Address,359266,775658.221872888,2953111.79007906,42.35064004,-71.05795,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",111 Beach Street #2F 02134,111,Beach,Street,2F,2134,#2F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111 Beach Street #3F 02134,True,5,"111 Beach St #3F, Boston, MA 02111",Address,359275,775658.221872888,2953111.79007906,42.35064004,-71.05795,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",111 Beach Street #3F 02134,111,Beach,Street,3F,2134,#3F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111 Beach Street #3G 02128,True,5,"111 Beach St #3G, Boston, MA 02111",Address,359310,775658.221872888,2953111.79007906,42.35064004,-71.05795,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",111 Beach Street #3G 02128,111,Beach,Street,3G,2128,#3G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-44 Beach Street #4A 02111,True,10,"42-44 Beach St #4A, Boston, MA 02111",Address,348252,-1,-1,34.244383995,-73.651394097,"STREET_EXACT,ADDRESS_EXACT,XY_PARCEL",42-44 Beach Street #4A 02111,42-44,Beach,Street,4A,2111,#4A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-44 Beach Street #4C 02111,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_PARCEL",42-44 Beach Street #4C 02111,42-44,Beach,Street,4C,2111,#4C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-44 Beach Street #5A 02111,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_PARCEL",42-44 Beach Street #5A 02111,42-44,Beach,Street,5A,2111,#5A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #111 02467,True,5,"2400 Beacon St #111, Brighton, MA 02135",Address,10400,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #111 02467,2400,Beacon,Street,111,2467,#111 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #205 02467,True,5,"2400 Beacon St #205, Brighton, MA 02135",Address,10408,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #205 02467,2400,Beacon,Street,205,2467,#205 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #206 02467,True,5,"2400 Beacon St #206, Brighton, MA 02135",Address,10409,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #206 02467,2400,Beacon,Street,206,2467,#206 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #207 02467,True,5,"2400 Beacon St #207, Brighton, MA 02135",Address,10410,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #207 02467,2400,Beacon,Street,207,2467,#207 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #212 02467,True,5,"2400 Beacon St #212, Brighton, MA 02135",Address,10415,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #212 02467,2400,Beacon,Street,212,2467,#212 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #214 02467,True,5,"2400 Beacon St #214, Brighton, MA 02135",Address,10417,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #214 02467,2400,Beacon,Street,214,2467,#214 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #305 02467,True,5,"2400 Beacon St #305, Brighton, MA 02135",Address,10423,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #305 02467,2400,Beacon,Street,305,2467,#305 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #306 02467,True,5,"2400 Beacon St #306, Brighton, MA 02135",Address,10424,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #306 02467,2400,Beacon,Street,306,2467,#306 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #314 02467,True,5,"2400 Beacon St #314, Brighton, MA 02135",Address,10432,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #314 02467,2400,Beacon,Street,314,2467,#314 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #413 02467,True,5,"2400 Beacon St #413, Brighton, MA 02135",Address,10446,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #413 02467,2400,Beacon,Street,413,2467,#413 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 Beacon Street #513 02467,True,5,"2400 Beacon St #513, Brighton, MA 02135",Address,10460,749951.775046155,2946788.17891629,42.33361404,-71.153142999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",2400 Beacon Street #513 02467,2400,Beacon,Street,513,2467,#513 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142 Bigelow Street #101 02135,True,10,"142 Bigelow St #101, Brighton, MA 02135",Address,15363,746461.565602914,2955150.94526008,42.356600041,-71.16593,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",142 Bigelow Street #101 02135,142,Bigelow,Street,101,2135,#101 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142 Bigelow Street #205 02135,True,10,"142 Bigelow St #205, Brighton, MA 02135",Address,15373,746461.565602914,2955150.94526008,42.356600041,-71.16593,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",142 Bigelow Street #205 02135,142,Bigelow,Street,205,2135,#205 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142 Bigelow Street #302 02135,True,10,"142 Bigelow St #302, Brighton, MA 02135",Address,15376,746461.565602914,2955150.94526008,42.356600041,-71.16593,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",142 Bigelow Street #302 02135,142,Bigelow,Street,302,2135,#302 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564 Blue Hill Avenue #1 02121,True,10,"564 Blue Hill Ave #1, Dorchester, MA 02121",Address,190093,768595.18210353,2936400.12700263,42.30488004,-71.08438,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",564 Blue Hill Avenue #1 02121,564,Blue Hill,Avenue,1,2121,#1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564 Blue Hill Avenue #2 02121,True,10,"564 Blue Hill Ave #2, Dorchester, MA 02121",Address,190094,768595.18210353,2936400.12700263,42.30488004,-71.08438,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",564 Blue Hill Avenue #2 02121,564,Blue Hill,Avenue,2,2121,#2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564 Blue Hill Avenue #4 02121,True,10,"564 Blue Hill Ave #4, Dorchester, MA 02121",Address,190096,768595.18210353,2936400.12700263,42.30488004,-71.08438,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",564 Blue Hill Avenue #4 02121,564,Blue Hill,Avenue,4,2121,#4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Bowdoin Street #6 02130,True,5,"10 Bowdoin St #6, Boston, MA 02119",Address,17530,774410.099403351,2956708.82765344,42.360528041,-71.062498999,"STREET_EXACT,ADDRESS_EXACT,XY_PARCEL",10 Bowdoin Street #6 02130,10,Bowdoin,Street,6,2130,#6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Bowdoin Street #203 02129,True,5,"10 Bowdoin St #203, Boston, MA 02119",Address,17533,774410.099403351,2956708.82765344,42.360528041,-71.062498999,"STREET_EXACT,ADDRESS_EXACT,XY_PARCEL",10 Bowdoin Street #203 02129,10,Bowdoin,Street,203,2129,#203 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
